NAME,BEGIN,END,KWH_PERIOD
1007BR,01/08/2020,31/08/2020,2 872
1007BR,01/09/2020,30/09/2020,2 769
1007BR,01/10/2020,31/10/2020,2 829
1007BR,01/11/2020,30/11/2020,2 716
1007BR,01/12/2020,31/12/2020,2 768
1007BR,01/01/2021,31/01/2021,2 771
1007BR,01/02/2021,28/02/2021,2 544
1007BR,01/03/2021,31/03/2021,2 868
1007BR,01/04/2021,30/04/2021,2 772
1007BR,01/05/2021,31/05/2021,2 838
1007BR,01/06/2021,30/06/2021,2 873
1007BR,01/07/2021,31/07/2021,2 918
1007BR,01/08/2021,31/08/2021,2 881
1007BR,01/09/2021,30/09/2021,2 803
1007BR,01/10/2021,31/10/2021,2 862
1007BR,01/11/2021,30/11/2021,2 718
1012BR,01/01/2019,31/01/2019,2 852
1012BR,01/02/2019,28/02/2019,2 590
1012BR,01/03/2019,31/03/2019,2 881
1012BR,01/04/2019,30/04/2019,2 795
1012BR,01/05/2019,31/05/2019,2 900
1012BR,01/06/2019,30/06/2019,2 899
1012BR,01/07/2019,31/07/2019,2 974
1012BR,01/08/2019,31/08/2019,2 981
1012BR,01/09/2019,30/09/2019,2 827
1012BR,01/10/2019,31/10/2019,2 480
1012BR,01/11/2019,30/11/2019,2 556
1012BR,01/12/2019,31/12/2019,2 655
1012BR,01/01/2020,31/01/2020,2 652
1012BR,01/02/2020,29/02/2020,2 500
1012BR,01/03/2020,31/03/2020,2 695
